id,source,url,title,organization,salary_from,salary_to,salary_currency,salary_raw,published_at,published_raw,region,experience,employment_type,description,extra_info,is_archive,archive_timestamp,scraped_at
110,profiminer.ru,https://profiminer.ru/vacancy/1734/,Машинист бульдозера,,,,,,,2023-05-26T13:51:51+03:00,,,,,,1,20240205180601,2026-09-08T16:53:20.950941
111,profiminer.ru,https://profiminer.ru/vacancy/1724/,Машинист автокрана (крановщик),,,,,,,2023-05-26T13:51:05+03:00,,,,,,1,20240205180607,2026-09-08T16:53:28.055695
112,profiminer.ru,https://profiminer.ru/vacancy/1740/,Мастер строительно-монтажных работ (СМР),,,,,,,2023-05-26T13:49:53+03:00,,,,,,1,20240205180614,2026-09-08T16:53:44.112456
113,profiminer.ru,https://profiminer.ru/vacancy/1726/,Мастер ОТК,,,,,,,2023-05-26T13:47:54+03:00,,,,,,1,20240205180559,2026-09-08T16:54:59.838879
114,profiminer.ru,https://profiminer.ru/vacancy/1723/,Мастер КИПиА,,,,,,,2023-05-26T13:46:48+03:00,,,,,,1,20240205180713,2026-09-08T16:55:05.298718
115,profiminer.ru,https://profiminer.ru/vacancy/1721/,Водитель самосвала (погрузка горной массы),,,,,,,2023-05-26T13:31:20+03:00,,,,,,1,20240205180613,2026-09-08T16:55:17.892321
116,profiminer.ru,https://profiminer.ru/vacancy/1719/,Маркшейдер участка (подземный Рудник),,,,,,,2023-05-26T13:46:05+03:00,,,,,,1,20240205180710,2026-09-08T16:55:33.596556
117,profiminer.ru,https://profiminer.ru/vacancy/1737/,Лаборант пробирного анализа,,,,,,,2023-05-26T13:45:19+03:00,,,,,,1,20240205180559,2026-09-08T16:56:20.538787
118,profiminer.ru,https://profiminer.ru/vacancy/1730/,Инженер ПТО,,,,,,,2023-05-26T13:41:48+03:00,,,,,,1,20240205180638,2026-09-08T16:56:31.599727
119,profiminer.ru,https://profiminer.ru/vacancy/1741/,Дробильщик,,,,,,,2023-05-26T13:40:19+03:00,,,,,,1,20240205180657,2026-09-08T16:56:46.461184
120,profiminer.ru,https://profiminer.ru/vacancy/1734/,Машинист бульдозера,,,,,,,,,,,,,1,20240520062723,2026-09-08T17:03:41.969819
121,profiminer.ru,https://profiminer.ru/vacancy/1724/,Машинист автокрана (крановщик),,,,,,,,,,,,,1,20240520062723,2026-09-08T17:04:46.949212
